i_id,商品名称,类目,品牌,商品状态,SKU数,主图URL,成本价(最低),成本价(最高),售价,库存总量,规格属性(首个SKU),颜色(从规格提取),重量(kg),长(cm),宽(cm),高(cm),体积,供应商,标签,关联店铺,缺失字段,缺失字段数,完整度评分,Agent可用等级,审核状态,质量警告,最后更新时间
N211201-C,二号平衡板,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N211202-C,三号平衡板,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220201-C,波比车底板,半成品类 - 吹塑部件,,未知,1,,,,,,暮云灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220202-C,老爷车车身,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220203-C01,传动轴,半成品类 - 吹塑部件,,未知,1,,,,,,暮云灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220203-C02,方向盘,半成品类 - 吹塑部件,,未知,1,,,,,,雅丹黑,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220203-C03,固定杆,半成品类 - 吹塑部件,,未知,1,,,,,,暮云灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220203-C04,转向柱,半成品类 - 吹塑部件,,未知,1,,,,,,暮云灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220204-C,老爷车座位,半成品类 - 吹塑部件,,未知,1,,,,,,秋杏棕,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220205-C,魔法城堡收纳架侧板,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220208-C,3号小熊靠背,半成品类 - 吹塑部件,,未知,1,,,,,,暮云灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220210-C,六号平衡板,半成品类 - 吹塑部件,,未知,1,,,,,,星海蓝,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220211-C,七号平衡板,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220217-C,靠背握把,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220218-C,一号桌面,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220219-C01,一号桌面大盖板,半成品类 - 吹塑部件,,未知,1,,,,,,暮云灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220219-C02,一号桌面小盖板,半成品类 - 吹塑部件,,未知,1,,,,,,暮云灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220220-C,一号升降桌腿基座,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220221-C01,一号桌升降桌腿-A,半成品类 - 吹塑部件,,未知,1,,,,,,暮云灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220221-C02,一号桌升降桌腿-B,半成品类 - 吹塑部件,,未知,1,,,,,,暮云灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220222-C,一号桌收纳板,半成品类 - 吹塑部件,,未知,1,,,,,,暮云灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220223-C,一号桌收纳挡板,半成品类 - 吹塑部件,,未知,1,,,,,,暮云灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220224-C01,一号椅侧板-A,半成品类 - 吹塑部件,,未知,1,,,,,,暮云灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220224-C02,一号椅侧板-B,半成品类 - 吹塑部件,,未知,1,,,,,,暮云灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220225-C01,靠背卡扣耳朵,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220225-C02,靠背卡扣空（不需要生产）,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220225-C03,一号椅靠背,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220225-C04,一号椅坐垫,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220225-C05,一号座椅加强梁,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220226-C,二号一体桌腿,半成品类 - 吹塑部件,,未知,1,,,,,,暮云灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220227-C,抽屉桌面,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220228-C01,抽屉板,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220228-C02,滑轨,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220229-C,置物架桌面,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220230-C01,置物架背板,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220230-C02,置物架小板,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220231-C01,置物架侧板-A,半成品类 - 吹塑部件,,未知,1,,,,,,暮云灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220231-C02,置物架侧板-B,半成品类 - 吹塑部件,,未知,1,,,,,,暮云灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220231-C03,置物架画板,半成品类 - 吹塑部件,,未知,1,,,,,,暮云灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220233-C,围栏画板,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220234-C,三层熊猫收纳架侧板,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220235-C,四层熊猫收纳架侧板,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220236-C01,熊猫收纳架耳朵-A,半成品类 - 吹塑部件,,未知,1,,,,,,雅丹黑,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220236-C02,熊猫收纳架耳朵-B,半成品类 - 吹塑部件,,未知,1,,,,,,雅丹黑,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220236-C03,熊猫收纳架手臂,半成品类 - 吹塑部件,,未知,1,,,,,,雅丹黑,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220236-C04,熊猫收纳架腿,半成品类 - 吹塑部件,,未知,1,,,,,,雅丹黑,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220501-Z,3号篮球框,半成品类 - 注塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220502-Z,双头铁杆螺丝,半成品类 - 注塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220616-Z,套筒扳手,半成品类 - 注塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220714-Z,防滑垫,半成品类 - 注塑部件,,未知,1,,,,,,暮云灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220715-Z,硅胶兔耳,半成品类 - 注塑部件,,未知,1,,,,,,暮云灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220726-Z01,直线防倒盘,半成品类 - 注塑部件,,未知,1,,,,,,暮云灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220726-Z02,转角防倒盘,半成品类 - 注塑部件,,未知,1,,,,,,暮云灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220830-Z,硅胶防护盖,半成品类 - 注塑部件,,未知,1,,,,,,暮云灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N220920-Z,闪光盖,半成品类 - 注塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N221001-C01,踩脚凳大侧板,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N221001-C02,踩脚凳小侧板,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N221002-C01,踩脚凳硅胶大面板,半成品类 - 吹塑部件,,未知,1,,,,,,暮云灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N221002-C02,踩脚凳硅胶小面板,半成品类 - 吹塑部件,,未知,1,,,,,,暮云灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N221003-C01,踩脚凳一体大面板,半成品类 - 吹塑部件,,未知,1,,,,,,暮云灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N221003-C02,踩脚凳一体小面板,半成品类 - 吹塑部件,,未知,1,,,,,,暮云灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N221004-C01,置物板,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N221004-C02,置物板压板,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N221005-C01,加强块,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N221006-C,鲨鱼座位,半成品类 - 吹塑部件,,未知,1,,,,,,秋杏棕,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N221101-C,秋千,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N221103-Z,五号卡扣公,半成品类 - 注塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N221104-Z01,五号卡扣盖,半成品类 - 注塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N221105-Z,硅胶皇冠,半成品类 - 注塑部件,,未知,1,,,,,,暮云灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N221106-Z,硅胶鹿角,半成品类 - 注塑部件,,未知,1,,,,,,暮云灰,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N221201-C,尿布台扶手,半成品类 - 吹塑部件,,未知,1,,,,,,丁香棕,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N221202-C01,尿布台小侧板,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N221202-C02,尿布台中侧板,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N221203-C,尿布台大侧板,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N221204-C,尿布台平台板,半成品类 - 吹塑部件,,未知,1,,,,,,丁香棕,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N221205-C,尿布台加强块,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N221207-C,奶油手推车竖杆,半成品类 - 吹塑部件,,未知,1,,,,,,丁香棕,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N221208-C01,把手奶油,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N221208-C02,奶油手推车背板,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N221208-C03,奶油手推车前板,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N221208-C04,手推车把手连接块,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N221209-C01,奶油手推车右侧板,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N221209-C02,奶油手推车左侧板,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N221210-C01,奶油手推车蛋糕,半成品类 - 吹塑部件,,未知,1,,,,,,丁香棕,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N221210-C02,奶油手推车加强块,半成品类 - 吹塑部件,,未知,1,,,,,,丁香棕,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N230101-C01,翻盖手推车侧板-A,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N230101-C02,翻盖手推车侧板-B,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N230102-C01,翻盖手推车-底板,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N230102-C02,翻盖手推车-后板,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N230102-C03,翻盖手推车-前板,半成品类 - 吹塑部件,,未知,1,,,,,,玉莲白,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
N230103-C01,翻盖右侧板,半成品类 - 吹塑部件,,未知,1,,,,,,丁香棕,,,,,,,,补发部件,,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-17 09:32:34.637
